Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.469890925487444,24.469890925487444,24.348150174614375,24.452499389648438,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.469912274409147,24.626436233520508,24.469912274409147,24.626436233520508,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.609028431124212,24.695986128760694,24.556853812542325,24.6785945892334,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.71338592380327,24.956867558520543,24.69599437846632,24.939476013183594,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,25.026439322365654,25.09600551923116,24.74817453490363,25.04383087158203,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,25.026437759399414,25.0786124037901,24.88730537435758,25.026437759399414,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,25.026437759399414,25.113395500050558,24.991654663138956,25.026437759399414,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.93947006556602,24.93947006556602,24.80033773605101,24.85251235961914,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.8525078784828,24.904682492643367,24.782941726268714,24.887290954589844,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.922086912003945,25.11339392947222,24.922086912003945,25.009044647216797,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.974263421789118,24.974263421789118,24.81773948669434,24.817739486694336,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.74817033434497,24.74817033434497,24.156857761352892,24.191640853881836,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.19165073916209,24.226433845904232,24.087301418935652,24.174259185791016,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.452512808374742,24.452512808374742,23.8264171745899,24.156856536865234,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.156852939720643,24.243810653686523,24.122069854134295,24.243810653686523,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.313373230285862,24.365547850951714,24.243807069398063,24.330764770507812,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.40034466717547,24.417736217187713,24.191646067028564,24.313386917114258,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.330779866310163,24.626436233520508,24.330779866310163,24.626436233520508,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,24.609028431124212,24.695986128760694,24.556853812542325,24.6785945892334,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,24.730783807484723,24.730783807484723,24.591651409130378,24.71339225769043,66200,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,24.800341797951834,24.800341797951834,24.609034813535658,24.643817901611328,66500,0.0,0.0,0.0
1993-03-02 00:00:00-05:00,24.66121370636538,25.009044647216797,24.62643061228024,25.009044647216797,182400,0.0,0.0,0.0
1993-03-03 00:00:00-05:00,25.043831399933453,25.13078914784989,25.009048300766878,25.1133975982666,280100,0.0,0.0,0.0
