Date,Close,Cash,Shares,Portfolio Value
2010-06-29 00:00:00-04:00,1.5926669836044312,988.851331114769,7,1000.0
2010-06-30 00:00:00-04:00,1.5886670351028442,988.851331114769,7,999.9720003604889
2010-07-01 00:00:00-04:00,1.4639999866485596,988.851331114769,7,999.0993310213089
2010-07-02 00:00:00-04:00,1.2799999713897705,988.851331114769,7,997.8113309144974
2010-07-06 00:00:00-04:00,1.0740000009536743,988.851331114769,7,996.3693311214447
2010-07-07 00:00:00-04:00,1.053333044052124,988.851331114769,7,996.2246624231339
2010-07-08 00:00:00-04:00,1.1640000343322754,988.851331114769,7,996.9993313550949
2010-07-09 00:00:00-04:00,1.159999966621399,988.851331114769,7,996.9713308811188
2010-07-12 00:00:00-04:00,1.136667013168335,988.851331114769,7,996.8080002069473
2010-07-13 00:00:00-04:00,1.2093329429626465,988.851331114769,7,997.3166617155075
2010-07-14 00:00:00-04:00,1.3226670026779175,988.851331114769,7,998.1100001335144
2010-07-15 00:00:00-04:00,1.3259999752044678,988.851331114769,7,998.1333309412003
2010-07-16 00:00:00-04:00,1.3760000467300415,988.851331114769,7,998.4833314418793
2010-07-19 00:00:00-04:00,1.4606670141220093,988.851331114769,7,999.076000213623
2010-07-20 00:00:00-04:00,1.3533329963684082,988.851331114769,7,998.3246620893478
2010-07-21 00:00:00-04:00,1.3480000495910645,988.851331114769,7,998.2873314619064
2010-07-22 00:00:00-04:00,1.399999976158142,988.851331114769,7,998.651330947876
2010-07-23 00:00:00-04:00,1.4193329811096191,988.851331114769,7,998.7866619825363
2010-07-26 00:00:00-04:00,1.3966670036315918,988.851331114769,7,998.6280001401901
2010-07-27 00:00:00-04:00,1.3700000047683716,988.851331114769,7,998.4413311481476
2010-07-28 00:00:00-04:00,1.3813329935073853,988.851331114769,7,998.5206620693207
2010-07-29 00:00:00-04:00,1.3566670417785645,988.851331114769,7,998.3480004072189
2010-07-30 00:00:00-04:00,1.329332947731018,988.851331114769,7,998.1566617488861
2010-08-02 00:00:00-04:00,1.3946670293807983,988.851331114769,7,998.6140003204346
2010-08-03 00:00:00-04:00,1.463333010673523,988.851331114769,7,999.0946621894836
2010-08-04 00:00:00-04:00,1.4173330068588257,988.851331114769,7,998.7726621627808
2010-08-05 00:00:00-04:00,1.363332986831665,988.851331114769,7,998.3946620225906
2010-08-06 00:00:00-04:00,1.305999994277954,988.851331114769,7,997.9933310747147
2010-08-09 00:00:00-04:00,1.3066669702529907,988.851331114769,7,997.9979999065399
2010-08-10 00:00:00-04:00,1.2686669826507568,988.851331114769,7,997.7319999933243
2010-08-11 00:00:00-04:00,1.1933330297470093,988.851331114769,7,997.204662322998
2010-08-12 00:00:00-04:00,1.1733330488204956,988.851331114769,7,997.0646624565125
2010-08-13 00:00:00-04:00,1.2213330268859863,988.851331114769,7,997.4006623029709
2010-08-16 00:00:00-04:00,1.2519999742507935,988.851331114769,7,997.6153309345245
2010-08-17 00:00:00-04:00,1.2766669988632202,988.851331114769,7,997.7880001068115
2010-08-18 00:00:00-04:00,1.2513329982757568,988.851331114769,7,997.6106621026993
2010-08-19 00:00:00-04:00,1.25266695022583,988.851331114769,7,997.6199997663498
2010-08-20 00:00:00-04:00,1.273332953453064,988.851331114769,7,997.7646617889404
2010-08-23 00:00:00-04:00,1.3420000076293945,988.851331114769,7,998.2453311681747
2010-08-24 00:00:00-04:00,1.2799999713897705,988.851331114769,7,997.8113309144974
2010-08-25 00:00:00-04:00,1.3266669511795044,988.851331114769,7,998.1379997730255
2010-08-26 00:00:00-04:00,1.3166669607162476,988.851331114769,7,998.0679998397827
2010-08-27 00:00:00-04:00,1.3133330345153809,988.851331114769,7,998.0446623563766
2010-08-30 00:00:00-04:00,1.324666976928711,988.851331114769,7,998.12399995327
2010-08-31 00:00:00-04:00,1.2986669540405273,988.851331114769,7,997.9419997930527
2010-09-01 00:00:00-04:00,1.363332986831665,988.851331114769,7,998.3946620225906
2010-09-02 00:00:00-04:00,1.4040000438690186,988.851331114769,7,998.6793314218521
2010-09-03 00:00:00-04:00,1.4033329486846924,988.851331114769,7,998.6746617555618
2010-09-07 00:00:00-04:00,1.369333028793335,988.851331114769,7,998.4366623163223
2010-09-08 00:00:00-04:00,1.3933329582214355,988.851331114769,7,998.604661822319
2010-09-09 00:00:00-04:00,1.380666971206665,988.851331114769,7,998.5159999132156
2010-09-10 00:00:00-04:00,1.3446669578552246,988.851331114769,7,998.2639998197556
2010-09-13 00:00:00-04:00,1.3813329935073853,988.851331114769,7,998.5206620693207
2010-09-14 00:00:00-04:00,1.4079999923706055,988.851331114769,7,998.7073310613632
2010-09-15 00:00:00-04:00,1.4653329849243164,988.851331114769,7,999.1086620092392
2010-09-16 00:00:00-04:00,1.3960000276565552,988.851331114769,7,998.6233313083649
2010-09-17 00:00:00-04:00,1.348667025566101,988.851331114769,7,998.2920002937317
2010-09-20 00:00:00-04:00,1.4040000438690186,988.851331114769,7,998.6793314218521
2010-09-21 00:00:00-04:00,1.3846670389175415,988.851331114769,7,998.5440003871918
2010-09-22 00:00:00-04:00,1.324666976928711,988.851331114769,7,998.12399995327
2010-09-23 00:00:00-04:00,1.3040000200271606,988.851331114769,7,997.9793312549591
2010-09-24 00:00:00-04:00,1.340000033378601,988.851331114769,7,998.2313313484192
2010-09-27 00:00:00-04:00,1.3686670064926147,988.851331114769,7,998.4320001602173
2010-09-28 00:00:00-04:00,1.4266669750213623,988.851331114769,7,998.8379999399185
2010-09-29 00:00:00-04:00,1.4653329849243164,988.851331114769,7,999.1086620092392
2010-09-30 00:00:00-04:00,1.3606669902801514,988.851331114769,7,998.37600004673
2010-10-01 00:00:00-04:00,1.3733329772949219,988.851331114769,7,998.4646619558334
2010-10-04 00:00:00-04:00,1.3993330001831055,988.851331114769,7,998.6466621160507
2010-10-05 00:00:00-04:00,1.4079999923706055,988.851331114769,7,998.7073310613632
2010-10-06 00:00:00-04:00,1.3639999628067017,988.851331114769,7,998.3993308544159
2010-10-07 00:00:00-04:00,1.3619999885559082,988.851331114769,7,998.3853310346603
2010-10-08 00:00:00-04:00,1.3619999885559082,988.851331114769,7,998.3853310346603
2010-10-11 00:00:00-04:00,1.3493330478668213,988.851331114769,7,998.2966624498367
2010-10-12 00:00:00-04:00,1.3493330478668213,988.851331114769,7,998.2966624498367
2010-10-13 00:00:00-04:00,1.369333028793335,988.851331114769,7,998.4366623163223
2010-10-14 00:00:00-04:00,1.3833329677581787,988.851331114769,7,998.5346618890762
2010-10-15 00:00:00-04:00,1.369333028793335,988.851331114769,7,998.4366623163223
2010-10-18 00:00:00-04:00,1.348667025566101,988.851331114769,7,998.2920002937317
2010-10-19 00:00:00-04:00,1.3366669416427612,988.851331114769,7,998.2079997062683
2010-10-20 00:00:00-04:00,1.3766670227050781,988.851331114769,7,998.4880002737045
2010-10-21 00:00:00-04:00,1.3833329677581787,988.851331114769,7,998.5346618890762
2010-10-22 00:00:00-04:00,1.3813329935073853,988.851331114769,7,998.5206620693207
2010-10-25 00:00:00-04:00,1.3899999856948853,988.851331114769,7,998.5813310146332
2010-10-26 00:00:00-04:00,1.4240000247955322,988.851331114769,7,998.8193312883377
2010-10-27 00:00:00-04:00,1.399999976158142,988.851331114769,7,998.651330947876
2010-10-28 00:00:00-04:00,1.4126670360565186,988.851331114769,7,998.7400003671646
2010-10-29 00:00:00-04:00,1.4559999704360962,988.851331114769,7,999.0433309078217
2010-11-01 00:00:00-04:00,1.4273329973220825,988.851331114769,7,998.8426620960236
2010-11-02 00:00:00-04:00,1.4166669845581055,988.851331114769,7,998.7680000066757
2010-11-03 00:00:00-04:00,1.4513330459594727,988.851331114769,7,999.0106624364853
2010-11-04 00:00:00-04:00,1.659999966621399,988.851331114769,7,1000.4713308811188
2010-11-05 00:00:00-04:00,1.6293330192565918,988.851331114769,7,1000.2566622495651
2010-11-08 00:00:00-05:00,1.6653330326080322,988.851331114769,7,1000.5086623430252
2010-11-09 00:00:00-05:00,1.6419999599456787,988.851331114769,7,1000.3453308343887
2010-11-10 00:00:00-05:00,1.957332968711853,988.851331114769,7,1002.552661895752
2010-11-11 00:00:00-05:00,1.869333028793335,988.851331114769,7,1001.9366623163223
2010-11-12 00:00:00-05:00,1.9893330335617065,988.851331114769,7,1002.7766623497009
2010-11-15 00:00:00-05:00,2.053333044052124,988.851331114769,7,1003.2246624231339
2010-11-16 00:00:00-05:00,1.9780000448226929,988.851331114769,7,1002.6973314285278
2010-11-17 00:00:00-05:00,1.965999960899353,988.851331114769,7,1002.6133308410645
2010-11-18 00:00:00-05:00,1.9926669597625732,988.851331114769,7,1002.799999833107
2010-11-19 00:00:00-05:00,2.065999984741211,988.851331114769,7,1003.3133310079575
2010-11-22 00:00:00-05:00,2.2266669273376465,988.851331114769,7,1004.4379996061325
2010-11-23 00:00:00-05:00,2.3046669960021973,988.851331114769,7,1004.9840000867844
2010-11-24 00:00:00-05:00,2.3646669387817383,988.851331114769,7,1005.4039996862411
2010-11-26 00:00:00-05:00,2.3546669483184814,988.851331114769,7,1005.3339997529984
