Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,DAVV.DE,VETH.DE,DAVV.DE,VETH.DE,DAVV.DE,VETH.DE,DAVV.DE,VETH.DE,DAVV.DE,VETH.DE,DAVV.DE,VETH.DE
Date,,,,,,,,,,,,
2024-10-03,7.026000022888184,12.61400032043457,7.026000022888184,12.61400032043457,7.150000095367432,12.96500015258789,6.966000080108643,12.550000190734863,7.119999885559082,12.9399995803833,53401.0,30878
2024-10-04,7.26200008392334,13.015000343322754,7.26200008392334,13.015000343322754,7.349999904632568,13.0600004196167,7.063000202178955,12.840999603271484,7.072000026702881,12.848999977111816,69584.0,28997
2024-10-07,7.376999855041504,13.562000274658203,7.376999855041504,13.562000274658203,7.468999862670898,13.711000442504883,7.300000190734863,13.277999877929688,7.448999881744385,13.567000389099121,130727.0,28021
2024-10-08,7.1519999504089355,13.138999938964844,7.1519999504089355,13.138999938964844,7.291999816894531,13.357000350952148,7.060999870300293,13.128000259399414,7.099999904632568,13.262999534606934,62802.0,46395
2024-10-09,7.179999828338623,13.449999809265137,7.179999828338623,13.449999809265137,7.239999771118164,13.449999809265137,7.0879998207092285,13.234000205993652,7.205999851226807,13.321000099182129,46733.0,35346
2024-10-10,7.013000011444092,13.024999618530273,7.013000011444092,13.024999618530273,7.10099983215332,13.177000045776367,6.889999866485596,12.949999809265137,7.071000099182129,13.177000045776367,115172.0,13634
2024-10-11,7.284999847412109,13.28600025177002,7.284999847412109,13.28600025177002,7.333000183105469,13.395999908447266,7.013000011444092,13.119999885559082,7.020999908447266,13.17199993133545,72170.0,53534
2024-10-14,7.900000095367432,14.446999549865723,7.900000095367432,14.446999549865723,7.913000106811523,14.496000289916992,7.551000118255615,13.732999801635742,7.599999904632568,13.807000160217285,246319.0,41403
2024-10-15,7.798999786376953,14.168000221252441,7.798999786376953,14.168000221252441,8.03600025177002,14.706000328063965,7.5929999351501465,13.887999534606934,7.806000232696533,14.342000007629395,169123.0,32958
2024-10-16,8.105999946594238,14.368000030517578,8.105999946594238,14.368000030517578,8.118000030517578,14.635000228881836,7.809000015258789,14.270000457763672,7.8460001945495605,14.317999839782715,114544.0,33495
2024-10-17,8.192000389099121,14.413999557495117,8.192000389099121,14.413999557495117,8.251999855041504,14.496000289916992,7.992000102996826,14.270000457763672,8.217000007629395,14.472000122070312,146017.0,20561
2024-10-18,8.38700008392334,14.588000297546387,8.38700008392334,14.588000297546387,8.4399995803833,14.600000381469727,8.199999809265137,14.390999794006348,8.208999633789062,14.480999946594238,102105.0,39720
2024-10-21,8.484999656677246,14.710000038146973,8.484999656677246,14.710000038146973,8.73900032043457,15.085000038146973,8.279000282287598,14.684000015258789,8.670999526977539,15.043999671936035,163933.0,67715
2024-10-22,8.829999923706055,14.520000457763672,8.829999923706055,14.520000457763672,8.897000312805176,14.678000450134277,8.644000053405762,14.425999641418457,8.744999885559082,14.651000022888184,156004.0,71387
2024-10-23,8.517999649047852,14.067999839782715,8.517999649047852,14.067999839782715,8.87600040435791,14.5,8.50100040435791,14.067999839782715,8.831000328063965,14.447999954223633,111015.0,25816
2024-10-24,8.722999572753906,13.984999656677246,8.722999572753906,13.984999656677246,8.904999732971191,14.178000450134277,8.57699966430664,13.913000106811523,8.602999687194824,14.119000434875488,69717.0,65422
2024-10-25,8.833000183105469,14.041000366210938,8.833000183105469,14.041000366210938,8.878999710083008,14.137999534606934,8.60099983215332,13.60200023651123,8.744000434875488,13.821999549865723,98939.0,32592
2024-10-28,9.109000205993652,13.904000282287598,9.109000205993652,13.904000282287598,9.140000343322754,14.071999549865723,8.765000343322754,13.800000190734863,8.802000045776367,13.902999877929688,151935.0,26918
2024-10-29,9.465999603271484,14.656000137329102,9.465999603271484,14.656000137329102,9.645999908447266,14.72599983215332,9.258000373840332,14.427000045776367,9.496999740600586,14.458000183105469,235690.0,51905
2024-10-30,9.267000198364258,14.789999961853027,9.267000198364258,14.789999961853027,9.364999771118164,15.02299976348877,8.972000122070312,14.668999671936035,9.355999946594238,14.76200008392334,143804.0,70717
2024-10-31,8.49899959564209,14.062000274658203,8.49899959564209,14.062000274658203,9.142999649047852,14.583999633789062,8.458999633789062,13.989999771118164,9.059000015258789,14.557000160217285,184340.0,78055
